player_id	EFscore	RAA	Wins	series_id
B Kumar	0.2170588859777519	381.7591497107362	1.2221906680893635	ipl2026
K Rabada	0.19085014371964612	238.94632293535267	0.7649796115879249	ipl2026
V Sooryavanshi	0.17122980750633943	298.99477159386447	0.9572229504555995	ipl2026
B Sai Sudharsan	0.16531050533522323	243.9947715938647	0.7811420712000571	ipl2026
V Kohli	0.16446757324237843	312.2460786953982	0.9996466196505682	ipl2026
JC Archer	0.16081229175773692	132.25653550766856	0.4234154010814955	ipl2026
Shubman Gill	0.1553156434981637	249.9947715938647	0.8003508943915708	ipl2026
A Kamboj	0.15229694755870035	137.25653550766845	0.43942275374108997	ipl2026
H Klaasen	0.15137977047469103	236.43325192001492	0.7569340887877014	ipl2026
MR Marsh	0.14781484094903588	235.0589054707816	0.7525341591298336	ipl2026
KH Pandya	0.1424569513506676	79.3154409784504	0.25392604701866706	ipl2026
RA Jadeja	0.14090248341008657	171.87696065230057	0.5502590246441361	ipl2026
KL Rahul	0.13357696967268992	200.43325192001515	0.6416811496386193	ipl2026
E Malinga	0.13241093268869877	91.44370873228513	0.29275433883579205	ipl2026
Rashid Khan	0.12866690086144963	55.81805518151816	0.17869985881265724	ipl2026
J Overton	0.1279342535771273	193.12826775383445	0.6182944580944572	ipl2026
Ishan Kishan	0.12289521971569473	184.62042514463178	0.5910568506908902	ipl2026
Rasikh Salam	0.11957715700958334	179.44370873228536	0.5744837456446619	ipl2026
SS Iyer	0.11927620055984213	229.6845590215487	0.735328347344291	ipl2026
CPL Connolly	0.11713505618256206	163.05890547078207	0.5220282808316693	ipl2026
Abhishek Sharma	0.11692631966414425	96.62042514463155	0.3093274438820204	ipl2026
C Green	0.11609808552479596	38.37434644923292	0.12285433933886845	ipl2026
JO Holder	0.11420875698599962	143.7539213046013	0.4602239429044794	ipl2026
A Raghuvanshi	0.11349826996772884	178.4973857969324	0.5714541206534504	ipl2026
Prince Yadav	0.11272836345346272	71.81805518151828	0.22992338732336107	ipl2026
K Nitish Kumar Reddy	0.111393530546305	-69.62565355076697	-0.22290447810837968	ipl2026
RD Rickelton	0.1107865998806071	149.8717322461655	0.4798099343537485	ipl2026
Prabhsimran Singh	0.10893803494602187	182.05890547078212	0.5828562209381298	ipl2026
N Burger	0.1056564279120879	24.379574855368332	0.07805049048017434	ipl2026
SP Narine	0.10547894705207074	58.75392130460102	0.1880989476913662	ipl2026
Mohammed Siraj	0.10418982858210778	-32.181944818481384	-0.10302954799621046	ipl2026
Kartik Tyagi	0.10394210214520569	2.0052284061347336	0.006419679652007189	ipl2026
Sakib Hussain	0.10360624494947866	86.19240163075165	0.2759424338961758	ipl2026
JC Buttler	0.10174088127241729	108.62042514463178	0.34774509026504874	ipl2026
RM Patidar	0.10147634425226142	143.24607869539847	0.45859809975626364	ipl2026
